age,d13,ref,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
3.96,-27.2,ghosh_2004,-6.231652892561984,279.4312557730374,21.586289003633887,14.956289003633886,-27.230144135281087,-20.875718615425033
4,-24.2,ghosh_2004,-6.2342975206611575,391.8020660175742,21.605995664226185,14.975995664226184,-27.25149744915718,-20.897334789683164
4,-24,ghosh_2004,-6.2342975206611575,391.8020660175742,21.605995664226185,14.975995664226184,-27.25149744915718,-20.897334789683164
4,-17.6,ghosh_2004,-6.2342975206611575,391.8020660175742,21.605995664226185,14.975995664226184,-27.25149744915718,-20.897334789683164
4,-26.5,ghosh_2004,-6.2342975206611575,391.8020660175742,21.605995664226185,14.975995664226184,-27.25149744915718,-20.897334789683164
4.14,-19.7,ghosh_2004,-6.243553719008265,340.90778228034594,21.598679783806723,14.968679783806722,-27.25359189844199,-20.899397119656243
4.34,-24.6,ghosh_2004,-6.256776859504132,333.30220701013957,21.597394620869057,14.967394620869054,-27.265311782348775,-20.911185514783227
4.35,-25.1,ghosh_2004,-6.257438016528925,329.1419311338722,21.59666650255148,14.966666502551476,-27.265265669316705,-20.911134542197352
4.35,-25.1,ghosh_2004,-6.257438016528925,329.1419311338722,21.59666650255148,14.966666502551476,-27.265265669316705,-20.911134542197352
4.35,-25.1,ghosh_2004,-6.257438016528925,329.1419311338722,21.59666650255148,14.966666502551476,-27.265265669316705,-20.911134542197352
4.36,-23.5,ghosh_2004,-6.2580991735537195,324.9816552576045,21.595919742116582,14.965919742116581,-27.265201805721336,-20.911065586382364
4.9,-23.8,ghosh_2004,-6.2938016528925615,367.6724300052822,21.60277960370941,14.97277960370941,-27.306681044293313,-20.952858720906185
4.98,-25.2,ghosh_2004,-6.299090909090909,326.1195235892691,21.596125879896167,14.966125879896165,-27.305523271205683,-20.95165173177755
5.36,-24,ghosh_2004,-6.324214876033057,333.83328441950806,21.5974862621671,14.9674862621671,-27.331411356894,-20.977717440596408
5.49,-24.5,ghosh_2004,-6.332809917355371,346.6393407900996,21.599611018598647,14.969611018598648,-27.34184766192662,-20.988235218762295
5.99,-25.2,ghosh_2004,-6.11,330.7574193548388,21.596951415519413,14.966951415519414,-27.121215834805305,-20.766145524368582
2,-13.56,freeman_2001,-5.8966666666666665,288.8476698369568,21.588528977364305,14.958528977364306,-26.90436987535906,-20.54783032863807
