"","depth_cm","d13o","n","d13o.se","age","d13o.low","d13o.high","d13a","co2","D13_wet","D13_dry","d13_wet","d13_dry"
"59",3620,-24.3785714285714,7,0.302059821979722,5.87605405405408,-24.6806312505511,-24.0765116065917,-6.39996996996996,281.712764682726,21.5868454738051,14.9568454738051,-27.3954344339614,-21.0420921234392
"60",3645,-24.0485714285714,7,0.175803306911697,5.89833928571429,-24.2243747354831,-23.8727681216597,-6.38758928571429,282.356821119907,21.5870009344069,14.9570009344069,-27.3834633707495,-21.0300438348329
"61",3685,-23.73,2,0.300000000000001,5.93305357142857,-24.03,-23.43,-6.39748214285716,292.063408381147,21.5892608507296,14.9592608507296,-27.3952987429417,-21.0419706655868
"62",3720,-24.595,8,0.142340135891864,5.96342857142857,-24.7373401358919,-24.4526598641081,-6.40228571428569,300.556672234731,21.5911185367896,14.9611185367896,-27.4017693998455,-21.0484952190816
"63",3727,-24.15,1,0,5.96950357142858,-24.15,-24.15,-6.33546071428568,302.255325005448,21.5914775459302,14.9614775459302,-27.3366985473509,-20.9830015536251
"64",3750,-23.892,5,0.0887355622059161,5.98946428571429,-23.9807355622059,-23.8032644377941,-6.11589285714282,329.952483628431,21.5968098030696,14.9668098030696,-27.1268492562683,-20.7718148579687
"65",3810,-24.49,6,0.158555983803829,6.04153571428572,-24.6485559838038,-24.3314440161962,-6.3676785714286,358.437342378289,21.6014341525562,14.9714341525562,-27.377714820052,-21.0243480810884
"66",3827,-24.4857142857143,7,0.198312609675892,6.05628928571429,-24.6840268953902,-24.2874016760384,-6.44144642857146,348.738998403826,21.5999444997896,14.9699444997896,-27.4485047491766,-21.0955911003978
"67",3850,-23.4733333333333,3,0.227034016051437,6.07625000000001,-23.7003673493847,-23.2462993172819,-6.51937500000001,350.356762295084,21.6001987172326,14.9701987172326,-27.5250276502891,-21.1726154564855
"68",3992,-23.5677777777778,9,0.210909260226721,6.16415428571429,-23.7786870380045,-23.3568685175511,-6.35689314285714,385.723570241769,21.6052234203941,14.9752234203941,-27.3707650687537,-21.0173766521744
"69",4052,-23.83,6,0.281626229839007,6.18678285714286,-24.111626229839,-23.548373770161,-6.39988742857143,395.450686989251,21.6064478021364,14.9764478021364,-27.4140157307739,-21.0609174991172
"70",4250,-24.28,1,0,6.26145714285714,-24.28,-24.28,-6.51236190476191,370.023825312924,21.6031114493539,14.9731114493539,-27.5209355169526,-21.1685148224618
"71",4295,-22.76,2,0.0899999999999999,6.29028571428571,-22.85,-22.67,-6.45628571428571,330.796095970343,21.5969582025487,14.9669582025487,-27.460187397379,-21.1073313704456
"72",4350,-24,1,0,6.33711428571429,-24,-24,-6.3899,377.369371957449,21.6041214671175,14.9741214671175,-27.4020247950013,-21.0488336749279
