"","age","d13C","co2","D13_wet","D13_dry","d13_wet","d13_dry","d13te_wet","d13te_dry"
"670",2.46,-6.53,323.379114448472,21.5956269633933,14.9656269633933,-27.5310761137402,-21.1786748165104,-13.6231627079219,-7.17991156964229
"671",2.46,-7.19,323.379114448472,21.5956269633933,14.9656269633933,-28.1771242981493,-21.8289431433054,-14.278450449487,-7.83947980860682
"672",2.47,-7.53,333.705370274469,21.5974642163109,14.9674642163109,-28.5116841383854,-22.1656998962838,-14.6177950485702,-8.1810527399166
"673",2.47,-6.82,333.705370274469,21.5974642163109,14.9674642163109,-27.8166941595832,-21.4661700837216,-13.9128655640361,-7.47151849449392
"674",2.48,-6.35,341.412653061224,21.5987630684515,14.9687630684515,-27.3578669814607,-21.0043538719366,-13.4474763986821,-7.00309754735429
"675",2.48,-6.2,341.412653061224,21.5987630684515,14.9687630684515,-27.2110382993767,-20.8565660724909,-13.2985478236907,-6.85319613803722
"676",2.48,-6.26,341.412653061224,21.5987630684515,14.9687630684515,-27.2697697722103,-20.9156811922691,-13.3581192536873,-6.91315670176402
"677",2.49,-6.34,347.501088435374,21.5997483744973,14.9697483744973,-27.3490164998114,-20.9954517448678,-13.4384993405126,-6.9940681051504
"678",2.49,-6.65,347.501088435374,21.5997483744973,14.9697483744973,-27.6524621501194,-21.3008795672206,-13.7462847653103,-7.30386405033028
"679",2.5,-7.63,374.997248908297,21.6037996243815,14.9737996243815,-28.6155940640883,-22.2703281924584,-14.7231910580063,-8.28717739370973
"680",2.5,-7.42,374.997248908297,21.6037996243815,14.9737996243815,-28.4100349225922,-22.0634262999389,-14.5146920809333,-8.07731646205389
"681",2.5,-7.6,374.997248908297,21.6037996243815,14.9737996243815,-28.586228472446,-22.2407707792414,-14.6934054898529,-8.25719726061607
"682",2.51,-6.85,268.621589310831,21.5835239877805,14.9535239877805,-27.8327942063802,-21.4822880776982,-13.9291958681207,-7.48786700243261
"683",2.51,-6.85,268.621589310831,21.5835239877805,14.9535239877805,-27.8327942063802,-21.4822880776982,-13.9291958681207,-7.48786700243261
"684",2.51,-6.57,268.621589310831,21.5835239877805,14.9535239877805,-27.5587099113369,-21.2064133766579,-13.6511917145115,-7.20804683706046
"685",2.52,-6.32,258.143367697594,21.5806227259633,14.9506227259633,-27.3112293883511,-20.9572980691755,-13.4001718108846,-6.95536876881579
"686",2.52,-5.97,258.143367697594,21.5806227259633,14.9506227259633,-26.9686230465568,-20.6124537071316,-13.0526656319676,-6.60559256225952
"687",2.53,-6.18,295.162268041236,21.5899510351461,14.9599510351461,-27.1830698872945,-20.8283597925078,-13.2701794170753,-6.8245864616166
"688",2.54,-6.15,332.181168384879,21.5972002153423,14.9672002153423,-27.1606071448644,-20.8057957053803,-13.2473954202904,-6.80169967073778
"689",2.54,-6.24,332.181168384879,21.5972002153423,14.9672002153423,-27.2487044888871,-20.8944685215865,-13.3367527019851,-6.89164065481953
"690",2.55,-6.16,230.77,21.5718002773324,14.9418002773324,-27.1462077064029,-20.7911431685702,-13.2327900460523,-6.786837578426
"691",2.55,-6.18,230.77,21.5718002773324,14.9418002773324,-27.1657853807226,-20.8108487319774,-13.2526477134827,-6.80682496396946
"692",2.55,-6.15,230.77,21.5718002773324,14.9418002773324,-27.1364188692431,-20.7812903868666,-13.222861212337,-6.77684388565433
"693",2.56,-6.05,248.855325615051,21.5778467385516,14.9478467385516,-27.0442892108077,-20.6885967648746,-13.129413947467,-6.68282459161628
"694",2.56,-6.09,248.855325615051,21.5778467385516,14.9478467385516,-27.0834443276965,-20.7280076569007,-13.1691290472629,-6.72279912455701
"695",2.57,-6.13,292.62522431259,21.5893870643923,14.9593870643923,-27.1335894982679,-20.7785526526239,-13.2199913766791,-6.77406699728556
"696",2.57,-6.29,292.62522431259,21.5893870643923,14.9593870643923,-27.2902081965688,-20.9361944282843,-13.3788499813052,-6.93396331096892
"697",2.57,-6.9,292.62522431259,21.5893870643923,14.9593870643923,-27.8873169838408,-21.5372036979895,-13.9844984114421,-7.54356800688652
"698",2.58,-7.24,315.548723404255,21.5941536121811,14.9641536121811,-28.2246658423294,-21.8767860255539,-14.3266719163499,-7.88800692317056
"699",2.58,-6.65,315.548723404255,21.5941536121811,14.9641536121811,-27.6471370869877,-21.2954847077682,-13.7408835449719,-7.29839203546828
"700",2.58,-6.69,315.548723404255,21.5941536121811,14.9641536121811,-27.6862915788753,-21.3348949666012,-13.7805980108279,-7.33836592616001
"701",2.59,-6.66,334.105693641618,21.5975331553296,14.9675331553296,-27.6601423146087,-21.3085960376427,-13.7540747688495,-7.31169087903709
"702",2.59,-6.22,334.105693641618,21.5975331553296,14.9675331553296,-27.2294443286406,-20.8750846339506,-13.317217089604,-6.87197954554279
"703",2.59,-6.34,334.105693641618,21.5975331553296,14.9675331553296,-27.3469074157228,-20.9933150167757,-13.4363600930346,-6.99190081831387
"704",2.6,-6.02,356.779104046243,21.6011851891485,14.9711851891485,-27.0371506901047,-20.6815577579541,-13.1221733341157,-6.67568491525924
"705",2.6,-6.08,356.779104046243,21.6011851891485,14.9711851891485,-27.0958820236915,-20.7406727366605,-13.181744622874,-6.73564533589661
"706",2.61,-6.12,243.17922041503,21.5760458855521,14.9460458855521,-27.1110956419733,-20.7558283230433,-13.1971758210501,-6.75101767222156
"707",2.61,-6.24,243.17922041503,21.5760458855521,14.9460458855521,-27.2285611997096,-20.874061208906,-13.3163213304692,-6.87094148382789
"708",2.61,-6.32,243.17922041503,21.5760458855521,14.9460458855521,-27.3068715715338,-20.9528831328144,-13.3957516700821,-6.95089069156552
"709",2.62,-6.36,303.854832214768,21.5918119313422,14.9618119313422,-27.361037554225,-21.007501642618,-13.4506923158789,-7.00629033636062
"710",2.62,-6.77,303.854832214768,21.5918119313422,14.9618119313422,-27.7623720160046,-21.4114577276453,-13.857766523993,-7.41602366126915
"711",2.63,-6.31,277.166632653061,21.5857275922206,14.9557275922205,-27.3063012126923,-20.9523696591863,-13.3951731541659,-6.95036987441551
"712",2.63,-6.23,277.166632653061,21.5857275922206,14.9557275922205,-27.2279915830261,-20.8735484871635,-13.3157435673254,-6.87042142931682
"713",2.64,-6.01,268.219767441861,21.5834169090775,14.9534169090775,-27.0104393359915,-20.6545606525659,-13.0950799634765,-6.64830170662924
"714",2.65,-6.19,287.737788873038,21.5882725810009,14.9582725810009,-27.191260243053,-20.8365931411364,-13.2784869084622,-6.83293756074283
"715",2.65,-6.16,287.737788873038,21.5882725810009,14.9582725810009,-27.1618942050852,-20.8070352757438,-13.2487008876004,-6.8029569690068
"716",2.66,-6.38,302.994564907275,21.591632526706,14.961632526706,-27.3804440405641,-21.027033774249,-13.4703763470576,-7.02610180976671
"717",2.66,-6.55,302.994564907275,21.591632526706,14.961632526706,-27.5468510417447,-21.19452779033,-13.6391632434778,-7.19599126719743
"718",2.67,-6.23,268.373629782834,21.5834579486608,14.9534579486608,-27.225830383462,-20.8713589601193,-13.3135514590344,-6.86820058841602
"719",2.68,-6.39,304.396597444083,21.5919243935011,14.9619243935011,-27.3905105603819,-21.0371678782532,-13.4805868347519,-7.03638084821307
"720",2.68,-6.54,304.396597444083,21.5919243935011,14.9619243935011,-27.537340225357,-21.184956673473,-13.6295164066914,-7.18628326754526
"721",2.69,-6.93,282.137791563275,21.5869481452888,14.9569481452888,-27.9143622547859,-21.564410377489,-14.011930474476,-7.57116378688409
"722",2.69,-6.79,282.137791563275,21.5869481452888,14.9569481452888,-27.7773205666025,-21.4264734923277,-13.872928863579,-7.43125417621229
"723",2.7,-6.97,280.222846347607,21.586483102644,14.956483102644,-27.9530745316007,-21.6033726250178,-14.0511964008527,-7.61068325896929
"724",2.71,-6.68,311.023989637314,21.5932684273892,14.9632684273892,-27.6756604621252,-21.3241888653999,-13.7698148515319,-7.32750671001099
"725",2.71,-6.64,311.023989637314,21.5932684273892,14.9632684273892,-27.6365059363113,-21.2847785721959,-13.7301003512641,-7.28753278445674
"726",2.72,-6.2,271.881917663617,21.5843811071917,14.9543811071917,-27.1973432846331,-20.8426915543877,-13.2846569475942,-6.83912319138631
"727",2.72,-6.45,271.881917663617,21.5843811071917,14.9543811071917,-27.4420611998865,-21.0890080437331,-13.5328747336306,-7.08896241376715
"728",2.72,-6.62,271.881917663617,21.5843811071917,14.9543811071917,-27.6084693822588,-21.2565032564879,-13.7016628281356,-7.25885308498619
"729",2.73,-6.44,296.515978184377,21.5902480088339,14.9602480088339,-27.4378578529574,-21.0848139627313,-13.5286112718911,-7.08470835047297
"730",2.73,-5.85,296.515978184377,21.5902480088339,14.9602480088339,-26.8603268896872,-20.5035104080774,-12.9428206610074,-6.49509119391143
"731",2.74,-6.06,321.150038705138,21.5952148600778,14.9652148600778,-27.0706190258199,-20.715207331491,-13.1561203223653,-6.70981573333097
"732",2.74,-6.25,321.150038705138,21.5952148600778,14.9652148600778,-27.2566026690832,-20.9024058652124,-13.3447638392162,-6.89969151558205
"733",2.75,-6.56,372.157623762375,21.6034089569202,14.9734089569202,-27.5678494315868,-21.2157370497518,-13.6604619450115,-7.2175038540945
"734",2.76,-6.19,319.488534151955,21.5949039466284,14.9649039466284,-27.197574928467,-20.8429905944224,-13.2848919043179,-6.8394265081879
"735",2.76,-6.02,319.488534151955,21.5949039466284,14.9649039466284,-27.031168460166,-20.6754971182057,-13.1161055483984,-6.66953759834234
"736",2.76,-6.19,319.488534151955,21.5949039466284,14.9649039466284,-27.197574928467,-20.8429905944224,-13.2848919043179,-6.8394265081879
"737",2.77,-6.05,314.888053204354,21.594025949684,14.964025949684,-27.0596981261571,-20.7042076491544,-13.1450432357816,-6.69865873735102
"738",2.77,-6.41,314.888053204354,21.594025949684,14.964025949684,-27.4120885971814,-21.058900023264,-13.5024734731529,-7.05842379882756
"739",2.78,-6.23,305.210185873606,21.5920925320037,14.9620925320037,-27.2340523535641,-20.8796886976697,-13.3218910169023,-6.876649454985
"740",2.78,-6.56,305.210185873606,21.5920925320037,14.9620925320037,-27.5570775633443,-21.2048239932912,-13.6495360212439,-7.20643472288384
"741",2.79,-6.63,268.110390625,21.5833877064397,14.9533877064397,-27.6173125424266,-21.2653979659235,-13.7106324601142,-7.26787500347245
"742",2.79,-6.34,268.110390625,21.5833877064397,14.9533877064397,-27.3334394846911,-20.9796705586232,-13.4226995483225,-6.97806122185136
"743",2.79,-6.3,268.110390625,21.5833877064397,14.9533877064397,-27.2942845801759,-20.9402598817542,-13.3829846639373,-6.93808690714502
"744",2.8,-6.04,280.830528200537,21.5866313645706,14.9566313645706,-27.0428669643696,-20.6872202375203,-13.1279713605535,-6.68142837764503
"745",2.8,-6,280.830528200537,21.5866313645706,14.9566313645706,-27.0037121841758,-20.6478096866022,-13.0882566022677,-6.64145419069098
"746",2.81,-5.88,296.049865711728,21.5901460607697,14.9601460607697,-26.8895957607794,-20.5329698330066,-12.9725081253468,-6.52497193732279
"747",2.81,-6.14,296.049865711728,21.5901460607697,14.9601460607697,-27.1441009564321,-20.78913752689,-13.2306531660738,-6.78480325275382
"748",2.82,-6.07,311.269203222918,21.5933170586708,14.9633170586708,-27.0786002577991,-20.7232288154262,-13.1642156991571,-6.71795193774847
"749",2.83,-6.21,362.302216748767,21.6020055685215,14.9720055685215,-27.223914417674,-20.8695466006047,-13.3116080917679,-6.86636230916395
"750",2.83,-6.29,362.302216748767,21.6020055685215,14.9720055685215,-27.3022227995721,-20.9483665085047,-13.3910364129954,-6.94630947206076
"751",2.84,-6.11,335.71407553108,21.597808474832,14.967808474832,-27.1220320217774,-20.7669724092088,-13.2082686091667,-6.76232113724393
"752",2.84,-6.17,335.71407553108,21.597808474832,14.967808474832,-27.1807635494904,-20.8260875845858,-13.2678400948274,-6.82228175736464
"753",2.84,-6.09,335.71407553108,21.597808474832,14.967808474832,-27.102454845873,-20.7472673507498,-13.1884114472797,-6.74233426387036
"754",2.85,-6.1,292.162832618026,21.5892832220377,14.9592832220377,-27.1041245995721,-20.7488946307126,-13.1901050812173,-6.74398481662706
"755",2.85,-5.99,292.162832618026,21.5892832220377,14.9592832220377,-26.9964492335453,-20.6405158988577,-13.0808897794353,-6.63405608972289
"756",2.86,-6.03,258.168555078684,21.5806299823418,14.9506299823418,-27.0273624734046,-20.6715768851799,-13.1122451297339,-6.66556129950288
"757",2.86,-6.36,258.168555078684,21.5806299823418,14.9506299823418,-27.3503913076589,-20.9967158527825,-13.4398938103853,-6.99535029189826
"758",2.88,-6.52,190.18,21.5540430118835,14.9240430118835,-27.481701241289,-21.1287171286693,-13.5730816931626,-7.12923940426958
"759",2.88,-6.14,190.18,21.5540430118835,14.9240430118835,-27.1097189633083,-20.754304873273,-13.1957794536041,-6.74947243460088
"760",2.88,-6.05,190.18,21.5540430118835,14.9240430118835,-27.0216178974707,-20.6656282864686,-13.1064183968665,-6.65952762599511
"761",2.89,-5.97,409.231949025487,21.6080828420271,14.9780828420271,-26.9947774544884,-20.6389509252955,-13.0791940911739,-6.63246873445121
"762",2.89,-6.11,409.231949025487,21.6080828420271,14.9780828420271,-27.1318163075978,-20.7768849382231,-13.2181928264508,-6.77237543181172
"763",2.89,-6.39,409.231949025487,21.6080828420271,14.9780828420271,-27.4058940138167,-21.0527529640784,-13.4961902970044,-7.05218882653253
"764",2.9,-6.28,392.689220389805,21.6061063736842,14.9761063736842,-27.29633877451,-20.9424697194382,-13.3850682366467,-6.9403283491614
"765",2.91,-6.35,376.146491754123,21.6039560572253,14.9739560572253,-27.3628110888594,-21.0093627821353,-13.4524912149908,-7.00817809325019
"766",2.91,-6.59,376.146491754123,21.6039560572253,14.9739560572253,-27.5977357860251,-21.2458220514276,-13.6907757237296,-7.24801912103419
