age,d13,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
2.3147,-21.37,-6.3141,238.7014266,21.57456479,14.94456479,-27.29968594,-20.94564129
2.3184,-20.9,-6.3252,249.1932788,21.57795137,14.94795137,-27.31377604,-20.95984463
2.3222,-20.24,-6.3806,259.9686947,21.58114495,14.95114495,-27.37104643,-21.01750913
2.327,-21.04,-6.491,273.5797463,21.58481937,14.95481937,-27.48261215,-21.12982663
2.3318,-20.51,-6.5627,287.1907979,21.58814549,14.95814549,-27.55596334,-21.20367779
2.3361,-21.77,-6.56915,299.3840316,21.59086832,14.96086832,-27.56486887,-21.21265853
2.3405,-21.33,-6.547583333,313.7981946,21.59381418,14.96381418,-27.54656217,-21.19425068
2.3472,-21.12,-6.1802,368.8534838,21.60294681,14.97294681,-27.19564083,-20.84109422
2.3539,-22.01,-6.074766667,305.1015629,21.59207014,14.96207014,-27.08207866,-20.72672213
2.3631,-20.95,-6.1407,362.2798575,21.6020023,14.9720023,-27.15607667,-20.8012657
2.3675,-21.75,-6.1275,416.0701709,21.60885394,14.97885394,-27.14968046,-20.79487061
2.3719,-22.15,-6.1599,419.3902619,21.60921925,14.97921925,-27.18174301,-20.82714488
2.3754,-21.46,-6.2334,408.4862852,21.6079972,14.9779972,-27.25252472,-20.8983813
2.3788,-19.88,-6.3048,397.8938506,21.60674592,14.97674592,-27.3212232,-20.96752069
2.3829,-20.99,-6.246866667,383.9535375,21.60499395,14.97499395,-27.26284697,-20.90875218
2.3871,-19.66,-6.126466667,369.63717,21.60305717,14.97305717,-27.14314884,-20.78826003
2.3905,-19.9,-6.049833333,367.1141466,21.60270019,14.97270019,-27.06779604,-20.71241278
2.3939,-19.58,-6.094033333,370.1340986,21.60312691,14.97312691,-27.11146776,-20.75637244
2.3971,-20.18,-6.135633333,370.0354852,21.60311308,14.97311308,-27.15217491,-20.79734541
2.4002,-19.93,-6.182616667,349.4124191,21.60005061,14.97005061,-27.19524853,-20.84068122
2.4039,-20.39,-6.354358333,324.7977918,21.5958863,14.9658863,-27.35939426,-21.00587312
2.4077,-23.6,-6.530741667,299.5179044,21.59089699,14.96089699,-27.52729956,-21.17484399
2.4112,-21.29,-6.6666,285.1110096,21.58765781,14.95765781,-27.65720356,-21.30557629
2.4148,-23.26,-6.7539,379.5244712,21.60441038,14.97441038,-27.75860214,-21.40774206
2.4175,-22.43,-6.819375,437.7367442,21.61113802,14.98113802,-27.82909462,-21.4787371
2.4202,-21.65,-6.8763,405.4737421,21.60764798,14.97764798,-27.88149446,-21.53145739
2.4228,-22.77,-6.8282,374.405666,21.60371872,14.97371872,-27.8306727,-21.48027907
2.4254,-20.94,-6.7801,343.3375899,21.59907836,14.96907836,-27.77917381,-21.42841474
