age,d13o,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
2.77,-22.533,-6.23,314.88805320435375,21.594025949683967,14.964025949683966,-27.235893361669255,-20.88155383620921
2.842,-21.947,-6.107666666666665,325.1302832415424,21.595946749688846,14.965946749688843,-27.117975070767816,-20.762877300308762
2.94,-23.634,-6.096666666666667,337.8704781997187,21.598173490320008,14.968173490320009,-27.109328183669753,-20.754187872263934
3.078,-22.733,-6.030000000000001,289.39190348525074,21.588653983512437,14.958653983512436,-27.035004623258256,-20.679319202941034
3.217,-22.675,-5.984666666666666,373.26508287293785,21.603562025003193,14.973562025003192,-27.004828210450828,-20.649039025071247
3.355,-23.245,-6.191652892561984,292.8835677119956,21.589444939502787,14.959444939502786,-27.19399458332298,-20.83935268302813
3.493,-22.733,-6.200776859504132,270.0467464114833,21.583901198569734,14.953901198569731,-27.197646738046274,-20.842993985334783
3.535,-25.648,-6.203553719008265,280.4965071770335,21.586549949789994,14.956549949789991,-27.202887185783833,-20.848285249102588
3.632,-22.342,-6.20996694214876,270.42740521988986,21.584001278607886,14.954001278607883,-27.206737953971377,-20.85214521455645
3.676,-21.904,-6.212876033057851,276.9664745789768,21.585677530451346,14.955677530451343,-27.211181768629075,-20.856628552505516
3.854,-22.081,-6.224644628099174,323.45372931366273,21.595640659667954,14.965640659667951,-27.232188725671268,-20.87783510976262
4.032,-21.68,-6.236413223140496,300.68526666666594,21.591145857052304,14.961145857052303,-27.23942860413809,-20.88509414051824
4.221,-21.796,-6.248909090909091,378.6550653895744,21.604294221166047,14.974294221166046,-27.264179946805534,-20.910089480010548
4.388,-22.176,-6.259950413223141,313.3328828040558,21.593723316148065,14.963723316148064,-27.264922535894883,-20.91077074166552
4.438,-22.332,-6.263256198347108,306.24869619463493,21.592305855539717,14.962305855539716,-27.26680877902559,-20.91266043224651
4.475,-22.218,-6.265702479338843,319.0521272613848,21.594821745854496,14.964821745854493,-27.271598908049565,-20.91749760220697
4.486,-22.032,-6.266429752066116,322.85855271366177,21.595531233140267,14.965531233140267,-27.272986356523084,-20.91889855551099
4.525,-22.298,-6.26900826446281,336.35406113537124,21.59791729395153,14.96791729395153,-27.277782272921364,-20.923740737574242
4.564,-22.675,-6.271586776859504,349.84956955708043,21.60011926933537,14.970119269335367,-27.282402889820688,-20.928405322401524
4.603,-23.037,-6.2741652892561985,361.5265606006434,21.60189186883503,14.971891868835028,-27.286614658766,-20.93265570041703
4.642,-22.875,-6.276743801652892,371.89774401144086,21.603372905431208,14.973372905431205,-27.29054880446732,-20.936624816328113
4.676,-23.418,-6.27899173553719,380.93928852341793,21.60459826781212,14.974598267812118,-27.293915914853454,-20.94002159228552
4.875,-23.883,-6.292148760330578,406.54591125198135,21.60777286164096,14.97777286164096,-27.309817293011232,-20.956046714208192
4.966,-24.199,-6.298165289256199,323.17165088613746,21.59558884822554,14.965588848225538,-27.30410589275342,-20.950221732750236
5.098,-23.316,-6.306892561983471,375.25695638126024,21.603835059088173,14.973835059088172,-27.320500044381024,-20.966774596541942
5.302,-24.223,-6.320380165289256,300.2264652567993,21.59104827614522,14.961048276145219,-27.321528011167306,-20.967729232151118
5.303,-24.067,-6.320446280991735,297.45033232628487,21.590451408476024,14.960451408476025,-27.32102443889012,-20.96721863392405
5.329,-24.513,-6.322165289256198,442.6844897959162,21.611628252304815,14.981628252304816,-27.34286960823656,-20.989339066406533
5.356,-24.511,-6.32395041322314,344.0028372739929,21.599186506855155,14.969186506855154,-27.332771295125657,-20.979096905750723
5.383,-24.392,-6.3257355371900825,349.8236579776576,21.600115204297516,14.970115204297514,-27.335402889909666,-20.981751504280574
5.411,-25.201,-6.327586776859504,308.57358636493984,21.592778212885364,14.962778212885361,-27.330229407638456,-20.9764982980285
5.438,-25.077,-6.329371900826446,342.6209070230295,21.59896138820942,14.96896138820942,-27.337863823868016,-20.984221290772652
5.465,-25.473,-6.331157024793388,362.5781794383629,21.602045903231847,14.972045903231846,-27.342547952053657,-20.988955325431984
5.477,-24.913,-6.33195041322314,354.9275368871963,21.600904450896124,14.970904450896121,-27.342237797971602,-20.988636000008498
5.492,-25.493,-6.33294214876033,345.36423369823865,21.59940651889629,14.96940651889629,-27.34178239476098,-20.9881682451086
5.504,-24.869,-6.3337355371900825,340.4832317073171,21.598609557793132,14.96860955779313,-27.34180022726729,-20.988181205194444
5.531,-25.142,-6.335520661157024,330.7698170731708,21.59695359126207,14.966953591262069,-27.341970974195753,-20.988342701251952
