"","age","d13C","d18O","site","st","st.sd","d18sw","d18sw.se","d18sw.low","d18sw.high"
"102",6.201040635375,-5.5808035529622,-9.0900694231414,"Shilou",18.2496839488901,2.00170501526048,-9.29824297934658,0.449705574687385,-9.74794855403396,-8.84853740465919
"103",6.2407892,-5.89082533244122,-8.92997467389525,"Shilou",18.5666759736661,1.95590583352306,-9.07875979539834,0.443866022505328,-9.52262581790366,-8.63489377289301
"104",6.2635026655,-5.964355185992,-9.20505193450859,"Shilou",18.8173778366841,1.99221871152674,-9.31154776496143,0.449066852223102,-9.76061461718453,-8.86248091273833
"105",6.286216131,-6.06001742471219,-9.16703678341664,"Shilou",19.068017051759,2.09984857268514,-9.22265102866878,0.46823497552915,-9.69088600419793,-8.75441605313963
"106",6.291894497375,-6.28498835879914,-9.29948031199886,"Shilou",19.1259182233275,2.13612433868463,-9.34853756826064,0.471091674250247,-9.81962924251088,-8.87744589401039
"107",6.32028632925,-5.17425293106435,-8.72958999314441,"Shilou",19.3552133315737,2.34212573821442,-8.74386017861956,0.497798530284807,-9.24165870890437,-8.24606164833475
"108",6.394105092125,-4.58208789959677,-9.0246078357017,"Shilou",18.858985672055,2.51734169089391,-9.12356520807311,0.530928524088924,-9.65449373216204,-8.59263668398419
"109",6.428175290375,-5.2032133589799,-9.01748502955746,"Shilou",17.8211398767336,2.38358132922699,-9.31868424587553,0.515762823712424,-9.83444706958796,-8.80292142216311
"110",6.43385365675,-5.07534470550869,-9.10433929897446,"Shilou",17.6327382961873,2.36507640024837,-9.42213945732106,0.5096331648168,-9.93177262213786,-8.91250629250425
"111",6.467923855,-5.00292468640743,-9.15842807780287,"Shilou",16.6124671302868,2.3039901590026,-9.67569610496325,0.502395885051511,-10.1780919900148,-9.17330021991174
"112",6.50199405325,-5.05106364831424,-9.01559247308092,"Shilou",16.0809755829809,2.26461787393165,-9.63354446132863,0.497806965785448,-10.1313514271141,-9.13573749554318
"113",6.519029152375,-5.11307660162588,-8.8182361984372,"Shilou",15.733238846027,2.21290470522716,-9.50098693735983,0.486874015234178,-9.98786095259401,-9.01411292212565
"114",6.59284791525,-5.48254996622596,-8.83131473423182,"Shilou",13.9332764309935,2.30786497387476,-9.86071945200567,0.507718817860378,-10.3684382698661,-9.35300063414529
"115",6.609883014375,-5.22896741819817,-9.14648944333219,"Shilou",14.0553137373894,2.29683868099777,-10.1615197098584,0.518817424801037,-10.6803371346594,-9.64270228505736
"116",6.63827484625,-5.51862062136452,-8.93684562444685,"Shilou",14.6833223258914,2.25545072364538,-9.82085204529709,0.499046516345487,-10.3198985616426,-9.3218055289516
"117",6.6624842105,-5.25427973592715,-8.8949114256358,"Shilou",14.9407795590179,2.27660494715481,-9.72396935274243,0.505128964837297,-10.2290983175797,-9.21884038790513
"118",6.70746842075,-5.33633962016174,-9.11517539797983,"Shilou",15.3724870873513,2.28752817696892,-9.87150127515981,0.501156146632744,-10.3726574217926,-9.37034512852707
"119",6.72032105225,-6.04111407132794,-9.29896641012485,"Shilou",15.5599412282065,2.28253359383965,-10.0244534749053,0.511817093405687,-10.536270568311,-9.51263638149963
"120",6.744590526,-5.72553743682056,-9.19942861541883,"Shilou",15.9452672036611,2.26842152579468,-9.84559336077181,0.498917665513529,-10.3445110262853,-9.34667569525828
"121",6.76838140333333,-5.65332353849083,-9.13472356529885,"Shilou",16.3191609369445,2.24825053757469,-9.71104026647628,0.49046746307744,-10.2015077295537,-9.22057280339884
"122",6.77432912266666,-5.81334137479685,-9.39184095022079,"Shilou",16.4060569196881,2.24174104132541,-9.95661375748071,0.487747154965877,-10.4443609124466,-9.46886660251483
"123",6.84125142836363,-6.09519161487529,-9.1783431099158,"Shilou",17.0392281266617,2.11102685715462,-9.61389904951883,0.47329143882574,-10.0871904883446,-9.14060761069309
"124",6.86412924341176,-6.60353598708114,-8.90467388147415,"Shilou",17.2403400014256,2.07040055828229,-9.30293837456179,0.462920742504637,-9.76585911706642,-8.84001763205715
"125",6.91105394929411,-6.92607339324665,-9.22244157280015,"Shilou",17.6477000860815,2.07173140360961,-9.54612538456741,0.469096491683157,-10.0152218762506,-9.07702889288425
"126",6.92446100811764,-6.98875140318175,-9.31019129894418,"Shilou",17.7412421399301,2.10641590704923,-9.61696153263827,0.468608777009574,-10.0855703096478,-9.1483527556287
"127",6.9512751257647,-6.14970822201959,-9.1545993335631,"Shilou",17.8710598073792,2.24209240115941,-9.43458409871458,0.483712933981846,-9.91829703269642,-8.95087116473273
"128",6.95797865517647,-6.23352613458858,-9.38166964847505,"Shilou",17.8930293629306,2.2920832463899,-9.65434644394471,0.499502845497466,-10.1538492894422,-9.15484359844724
"129",7.00490336105882,-6.01713713754446,-8.86502571940265,"Shilou",17.9635798789445,2.84186509379471,-9.12493067650653,0.587146396279802,-9.71207707278633,-8.53778428022673
"130",7.03171747870588,-6.0519229232355,-9.13460120906195,"Shilou",17.9551739152833,3.30982703120484,-9.40431086533033,0.668631355836789,-10.0729422211671,-8.73567950949355
"131",2.8358777,-5.11794447868717,-7.59938871589289,"Shilou",16.6153914727742,2.30431929785595,-8.11100999657894,0.506506227320969,-8.61751622389991,-7.60450376925797
"132",2.8979332,-4.18194881549614,-8.45591692207141,"Shilou",17.1684196379219,1.88584837484335,-8.86824033484296,0.437832587041691,-9.30607292188466,-8.43040774780127
"133",2.9475776,-2.61437098951442,-8.7724061256511,"Shilou",17.6911105501018,1.77036906988408,-9.08482072632966,0.419315994379838,-9.5041367207095,-8.66550473194982
"134",2.9599887,-3.96375209552482,-9.11482869257006,"Shilou",17.8320706365942,1.76495439924983,-9.4031149815967,0.414560833134851,-9.81767581473156,-8.98855414846185
"135",3.05,-3.18072168793362,-9.18081302538626,"Shilou",18.9649140381389,1.88843729031501,-9.2551608365094,0.431060408505528,-9.68622124501493,-8.82410042800387
"136",3.0775904,-5.28380432608136,-9.02588597088803,"Shilou",19.3490424712444,1.94719751200727,-9.02982830452834,0.441515610651496,-9.47134391517984,-8.58831269387685
"137",3.0913856,-4.85044490773738,-9.00152123045294,"Shilou",19.5478417098048,1.97652629103425,-8.9699163518989,0.446264427949009,-9.41618077984791,-8.5236519239499
"138",3.118976,-5.3207182555319,-9.03925232084552,"Shilou",19.9542887007155,2.02532418195045,-8.92724179917128,0.4510178720539,-9.37825967122518,-8.47622392711738
"139",3.1258736,-6.07315561200313,-9.26680481279261,"Shilou",20.056918227922,2.03142509700767,-9.13715940136089,0.454085919860604,-9.59124532122149,-8.68307348150028
"140",3.1672592,-6.30096006703692,-8.6580108445851,"Shilou",20.6671966552507,2.02246354644996,-8.42297584170471,0.450449393572907,-8.87342523527762,-7.9725264481318
"141",3.170708,-5.08634008703431,-9.04519024969354,"Shilou",20.7173068474296,2.01919171982092,-8.79182206069748,0.447607615726697,-9.23942967642418,-8.34421444497078
"142",3.2011935,-4.84083717267491,-9.03171571884611,"Shilou",21.1521347518414,1.98518960932411,-8.69853622690414,0.450354398108538,-9.14889062501268,-8.2481818287956
"143",3.210987,-4.4590561215084,-8.80383868422918,"Shilou",21.288036019035,1.97512627218113,-8.4508275104294,0.43696290596656,-8.88779041639596,-8.01386460446284
