"","site","SID","age","n","d13","d13.se","d18","d18.se","temp","temp.sd","st.low","st.high","d18sw","d18sw.se","d18sw.low","d18sw.high"
"22","Lantian","LT29",4.505,5,-9.30560119050751,0.00632724148192696,-10.5480629924805,0.0606035835176463,26.670244795806,4.63989833207836,22.0303464637276,31.3101431278843,-9.23704436985646,0.82086347561985,-10.0579078454763,-8.41618089423661
"23","Lantian","LT41",5.31,3,-9.76775347995781,0.00832289648961585,-9.61790526797066,0.0297885432952941,25.0380466170781,4.46333041995058,20.5747161971275,29.5013770370287,-8.59769320674212,0.800909352466649,-9.39860255920877,-7.79678385427547
"24","Lantian","LT46",5.6,3,-8.73639831605218,0.278234877657578,-10.3281135055929,0.0436008664573832,12.2767551848304,7.43671266937292,4.84004251545747,19.7134678542033,-11.7157835810961,1.44390479938156,-13.1596883804777,-10.2718787817145
"25","Lantian","LT49",6.163,3,-8.65175220310581,0.0214696975287594,-9.71848440527519,0.0337601866264028,20.2346011053661,4.24802690121891,15.9865742041472,24.482628006585,-9.54922130563721,0.793448685252508,-10.3426699908897,-8.7557726203847
"26","Shilou","SL27",3.548125,4,-3.7561274548166,0.0150985756390901,-8.37288756076569,0.0162490432803887,21.6616207960631,3.72264791934668,17.9389728767164,25.3842687154098,-7.97049479243628,0.685691011514436,-8.65618580395071,-7.28480378092184
"27","Shilou","SL31",3.915714,2,-5.99547010055062,0.0139337644591416,-8.49761149148752,0.0451546201502588,12.715080134249,4.83003578905431,7.88504434519467,17.5451159233033,-9.77859372322571,0.939053267798546,-10.7176469910243,-8.83954045542717
"28","Shilou","SL35",4.51234358952381,5,-5.37556366776363,0.0366243119080628,-9.1120394065826,0.0456587563801615,19.4663615534711,3.69254437150249,15.7738171819686,23.1589059249736,-9.10664410333954,0.687906160348551,-9.7945502636881,-8.41873794299099
"29","Shilou","SL85",5.05268589715384,5,-5.62614162983001,0.0260758548553613,-8.86334835663565,0.067011657570791,30.5075111873172,3.63490819323363,26.8726029940836,34.1424193805508,-6.87666183824831,0.631411645287279,-7.50807348353559,-6.24525019296103
"30","Shilou","SL10",5.96659803397297,5,-6.50220910439916,0.0142313935377127,-9.79146946583717,0.0452596907966912,21.3571499628576,3.31256538870548,18.0445845741522,24.6697153515631,-9.43426457773382,0.614160809632886,-10.0484253873667,-8.82010376810093
"31","Shilou","SL53",6.59284791525,5,-5.35565792335151,0.0128353343855391,-8.98817907975268,0.0394137643603034,12.6279546906841,4.72729930843172,7.90065538225235,17.3552539991158,-10.2898230160562,0.916778236034173,-11.2066012520903,-9.373044780022
"32","Shilou","SL72",7.03171747870588,5,-5.93372723853297,0.00961983389818182,-9.26302732407928,0.0696465892440676,14.9439739376027,3.09858039059935,11.8453935470034,18.0425543282021,-10.1108020269184,0.597571292168408,-10.7083733190868,-9.51323073475
